计算机英语
abbreviate vt.缩写，省略
abbreviation n.缩短，省略，简称
abend 异常结束
abnormal 异常
abort 异常中止
aboveboard ad.照直，公开的
absence n.缺少，没有
absolute 绝对
absorption 吸收
abstract 抽象
acceleration 加速度
accelerator n.加速装置，加速剂
accent 强调
accept 接受
accepting 接收
access 访问
accessible 可存取
accessor 存取元
accessory 附件
accidentally ad.偶然地
accommodate 容纳
according to a.按照，根据
account 帐户
accounting 会计
accumulate 累加
accumulator 累加器
accuracy 准确度
accurately 准确地
achieve vt.完成
ACK 确认符
acknowledge 确认
acknowledgement 确认
acknowledgment n.接收(收妥)，承认
acoustic 声音的
acquire 获取
acquisition 获取
acronym 字首组合词
across 跨越
action 动作
activate 激活
activation 激活
active 活动的
activity 活动
actual 实际的
actuator 致动器
adaptability 适应性
adapter 适配器
add 添加
addend 加数
adder 加法器
addition n.加法，增加
additional 附加的
additionally ad.另外，又
additive 添加的
address 地址
addressability 可寻址性
addressee 被访地址
addressing 寻址
adequate a.足够的，充分的
adjacency 邻近
adjacent 邻近的
adjust 调整
adjustment 调整
administration 管理
administrative 管理的
administrator 管理员
advance v.进展
advanced 高级的
affect vt.影响，改变，感动
affected a.受了影响的
again 再次
aggregate 聚集
aid n.帮助，辅助程序
airflow 气流
aisle 通道
alarm 警报
alert 报警
algebraic 代数
algorithm 算法
alias 别名
aliasing 别名判别
align v.定位，对齐
aligned a. 对齐的，均衡的
aligner 调整器
alignment 数据对齐
all 全部
allocate 分配
allocation 分配
allocator 分配器
allow 允许
allowable a.容许的，承认的
allowance 允许
allowed a.容许的
ally v.联合，与...关联
alpha n.希腊字母α，未知数
alphabet 字母
alphabetic 字母的
alphabetical a.字母(表)的，ABC的
alphabetically ad.按字母表顺序
alphameric 字母数字的
alphanumeric 字母数字的
alter 改变
alteration 改动
alternate 替代
alternately ad.交替地，轮流地
alternative 替代项
amber 琥珀色
amount 金额
amp 安培
ampere 安培
ampersand n.＆号(and)
amplifier 放大器
amplitude 振幅
analog 模拟
analogue 模拟
analysis 分析
analyst 分析员 
analyze 分析
analyzer 分析机 
ancestor 祖先 
AND 与 
angle 角度
Angstrom 埃 
animate 动画绘制 
Animation 动画 
annotate 注释 
annotation 注释 
announce vt.发表，宣布
announcement 宣布
announciator 报警器 
anode 阳极 
another 另一个
ANSI n.美国国家标准协会 
answering 应答 
antialiasing 排斥假名 
anticipate vt.预先考虑，抢...先 
antistatic 防静电 
aperture 小孔
apostrophe 单引号
appear 出现
append 附加
appendix n.附录
Apple n.苹果公司
applicable a.可适用的，合适的
application 应用（程序）
applied a.适用的，外加的
apply 应用
appropriate 适当的
appropriately ad.适当地
apron 附表
architecture 体系结构
archive 归档
area 区
argument 参数
arithmetic 算术
arrange 排列
arrangement 排列
array 数组
arrow 箭头
article 物件
ascend 上升
ascending 升序
ASCII n.美国信息交换标准码
assemble 汇编
assembled 组装
assembler 汇编程序
assembly 汇编
assertion 断言
asset 资产
Assign 分配
assigned a.指定的，赋值的
assignment 赋值
assist 辅助
assistance 辅助
associate v.相联，联想，关联
associated 关联的
association 关联
associativity 关联性
assortment n.种类，花色品种
assume 假设
assumed a.假定的
asterisk 星号
async 异步
asynchronous 异步
atom 原子
atomicity 原子性
attach 连接
attached a.附加的
attachment 连接附件
attempt 试图
attention n.注意(信号)
attenuation 衰减
attenuator 衰减器
attractive 吸引人的
attribute 属性
audio 声频
audit 审查
augend 被加数
augment v.增加，添加，扩充
authentication 认证
authenticator 认证器
author n.程序设计者，作者
authority 权限
authorization 权限
authorize 授权
authorized 特许的
auto a.自动的
autodialer 自动拔号器
autoindex n.自动变址(数)
automata 自动机
automatic 自动的
automatically ad.自动地，机械地
automation 自动化
automaton 自动机
autonumber 自动号
autopush 自动推
autostart 自动启动
auxiliary 辅助的
availability 可用性
available 可用的
average 平均
avoid vt.避免，取消，无效
babble 串音
backbone 主干
backend 后端
backflush 逆算法
background 后台
backlog 待办事项
backscrolling 反卷
backslash 反斜线
backspace 退格
backtab 退格制表
backup 备份
backward 反向
badge 标记
balance 平衡
band 区
bandwidth 带宽
bank 存储单元
banking 出界
bar 条
base 基数
baseband 基带
baseline 基线
basename 基名
basic 基本
basis 基础
bass 低音部
batch 批处理
battery 电池
baud 波特
beacon 信标
beam 束
beep n.蜂鸣声，嘀嘀声
beeper 蜂鸣器
begin 开始
behavior 行为
bel 贝尔
bell 响铃
bellfast 快贝尔
below 下面
benchmark 基准
beyond prep.超过，那边
bias 偏离
bibliography 书目
bid 请求
bidder 请求者
bill 票据
billing 开票
binary 二进制
bind 联接
binder 联接器
binding 联接
bionics 仿生学
BIOS n.基本输入/输出系统
bipolar 双极性的
biquinary 二五混合进制（的）
bistable 双稳态的
bit 位
bitmap 位图
blank 空格
blanket 涂层
blink 闪烁
blinking 闪烁
blip （缩微胶卷画面上的光点）标志
blit 位块传送
block 块
blocking 分块
blower 鼓风机
board n.板，插件板
body 主体
boldface 黑体
book 书籍
bookmark 书签
Boolean 布尔
boot 引导
Bootable 可引导
bootstrap 自举
border 边框
borrow 借位
bottleneck 瓶颈
bottom 底部
bounce 弹回
bound 界限
boundary 边界
box 框
bpi 位／英寸
bps 位／秒
brace 花括号
braces 花括号
bracket 方括号
bracketed a.加括号的
brackets 方括号
branch 分支
break 中断
breakpoint 断点
breve 短音符号
bridge 网桥
bridging 桥接
bright 明亮
brightness 亮度
broadband 宽频带
broadcast 广播
browse 浏览
Browser 浏览器
bucket 存储桶
buffer 缓冲区
buffering 缓冲
bug 错误
build 构建
bulb 灯泡
bumper 保险杆
burst 脉冲串
bus 总线
business 商业
bussback 反馈
busy 忙
button 按钮
buyer 采购人员
buzzer 蜂鸣器
bypass 旁路
byte 字节
cable 电缆
cabling 布线
cache 高速缓存
caching 高速缓存
CAD 计算机辅助设计
cage 盒子
calculate 计算
calculation n.计算，统计，估计
calculator 计算器
calendar 日历
calibrate 校准
call 调用
callback 回叫
caller 调用程序
calling 调用
callout 调出
camcorder 便携式摄像机
cancel 取消
candidate 候选
cannot 不能
canvas 画布
capability 能力
capable 有能力的
capacitor 电容
